|city_clear|ru_names|ru_names2|ru_names3
1041|Егорьевск, Московская область|Егорьевск Московская область|Егорьевск |Егорьевск 
1042|Ейск|Ейск|Ейск|Ейск
1043|Ейск (Краснодарский край)|Ейск Краснодарский край|Ейск Краснодарский край|Ейск Краснодарский край
1044|Екат-г|Екат-г|Екат-г|Екат-г
1045|Екатееринбург|Екатеринбург|Екатеринбург|Екатеринбург
1046|Екатеренбург|Екатеринбург|Екатеринбург|Екатеринбург
1047|Екатерибург|Екатерибург|Екатерибург|Екатерибург
1048|Екатеринбург|Екатеринбург|Екатеринбург|Екатеринбург
1049|Екатеринбург (Москва)|Екатеринбург Москва|Екатеринбург Москва|Екатеринбург Москва
1050|Екатеринбург (Пермь)|Екатеринбург Пермь|Екатеринбург Пермь|Екатеринбург Пермь
1051|Екатеринбург (Россия)|Екатеринбург Россия|Екатеринбург Россия|Екатеринбург Россия
1052|Екатеринбург (Свердловская область)|Екатеринбург Свердловская область|Екатеринбург |Екатеринбург 
1053|Екатеринбург , ДО Солнечный|Екатеринбург ДО Солнечный|Екатеринбург  Солнечный|Екатеринбург  Солнечный
1054|Екатеринбург г|Екатеринбург г|Екатеринбург г|Екатеринбург г
1055|Екатеринбург, Москва|Екатеринбург Москва|Екатеринбург Москва|Екатеринбург Москва
1056|Екатеринбург, Нижний тагил|Екатеринбург Нижний тагил|Екатеринбург Нижний тагил|Екатеринбург Нижний тагил
1057|Екатеринбург, Новоуральск|Екатеринбург Новоуральск|Екатеринбург Новоуральск|Екатеринбург Новоуральск
1058|Екатеринбург, Серов|Екатеринбург Серов|Екатеринбург Серов|Екатеринбург Серов
1059|Екатеринбург-Дубай.|Екатеринбург-Дубай.|Екатеринбург-Дубай.|Екатеринбург-Дубай.
1060|Екатеринбург-Москва|Екатеринбург-Москва|Екатеринбург-Москва|Екатеринбург-Москва
1061|Екатеринбург.|Екатеринбург.|Екатеринбург.|Екатеринбург.
1062|Екатеринбург/Волгодонск|ЕкатеринбургВолгодонск|ЕкатеринбургВолгодонск|ЕкатеринбургВолгодонск
1063|Екатеринубрг|Екатеринбург|Екатеринбург|Екатеринбург
1064|Екатеринург|Екатеринбург|Екатеринбург|Екатеринбург
1065|Екатеринюург|Екатеринбург|Екатеринбург|Екатеринбург
1066|Екатнринбург|Екатеринбург|Екатеринбург|Екатеринбург
1067|Екатринбург|Екатеринбург|Екатеринбург|Екатеринбург
1068|Екаттеринбург|Екатеринбург|Екатеринбург|Екатеринбург
1069|Ектб|Ектб|Ектб|Ектб
1070|Елабуга|Елабуга|Елабуга|Елабуга
1071|Елабуга, РТ|Елабуга РТ|Елабуга |Елабуга 
1072|Еланский район|Еланский район||
1073|Елань|Елань|Елань|Елань
1074|Елец|Елец|Елец|Елец
1075|Елец (Липецкая обл.)|Елец Липецкая обл.|Елец .|Елец .
1076|Елизово|Елизово|Елизово|Елизово
1077|Елизово, Камчатский край|Елизово Камчатский край|Елизово Камчатский край|Елизово Камчатский край
1078|Ельники|Ельники|Ельники|Ельники
1079|Еманжелинск|Еманжелинск|Еманжелинск|Еманжелинск
1080|Еманжелинский р-он,с.Ключи|Еманжелинский р-он с.Ключи|Еманжелинский р-он с.Ключи|Еманжелинский р-он с.Ключи
1081|Емва|Емва|Емва|Емва
1082|Енисейск|Енисейск|Енисейск|Енисейск
1083|Енисейск (Красноярский край)|Енисейск Красноярский край|Енисейск Красноярский край|Енисейск Красноярский край
1084|Ермаковское (Красноярский край)|Ермаковское Красноярский край|Ермаковское Красноярский край|Ермаковское Красноярский край
1085|Ермишь|Ермишь|Ермишь|Ермишь
1086|Ермолаево|Ермолаево|Ермолаево|Ермолаево
1087|Ермолино, Калужской области|Ермолино Калужской области|Ермолино асти|Ермолино асти
1088|Ершов|Ершов|Ершов|Ершов
1089|Ессентуки|Ессентуки|Ессентуки|Ессентуки
1090|Ессентуки (Ставропольский край)|Ессентуки Ставропольский край|Ессентуки Ставропольский край|Ессентуки Ставропольский край
1091|Ессентуки, Ставропольский край|Ессентуки Ставропольский край|Ессентуки Ставропольский край|Ессентуки Ставропольский край
1092|Ессентукская|Ессентукская|Ессентукская|Ессентукская
1093|Ефремов|Ефремов|Ефремов|Ефремов
1094|Ефремов (Тульская обл.)|Ефремов Тульская обл.|Ефремов .|Ефремов .
1095|Ефремов, Тульской области|Ефремов Тульской области|Ефремов асти|Ефремов асти
1096|Жаворонки|Жаворонки|Жаворонки|Жаворонки
1097|Жалоба на Альфа-Банк|Жалоба на Альфа-Банк|Жалоба на Альфа-Банк|Жалоба на Альфа-Банк
1098|Железноводск|Железноводск|Железноводск|Железноводск
1099|Железноводск пос. Иноземцево|Железноводск пос. Иноземцево|Железноводск пос. Иноземцево|Железноводск пос. Иноземцево
1100|Железноводск, Иноземцево|Железноводск Иноземцево|Железноводск Иноземцево|Железноводск Иноземцево
1101|Железногорск|Железногорск|Железногорск|Железногорск
1102|Железногорск (Железногорск)|Железногорск Железногорск|Железногорск Железногорск|Железногорск Железногорск
1103|Железногорск (Красноярский край)|Железногорск Красноярский край|Железногорск Красноярский край|Железногорск Красноярский край
1104|Железногорск (Курская обл.)|Железногорск Курская обл.|Железногорск .|Железногорск .
1105|Железногорск (Курской области)|Железногорск Курской области|Железногорск асти|Железногорск асти
1106|Железногорск (красноярского края)|Железногорск красноярского края|Железногорск красноярского края|Железногорск красноярского края
1107|Железногорск - Илимский|Железногорск - Илимский|Железногорск - Илимский|Железногорск - Илимский
1108|Железногорск - Красноярск|Железногорск - Красноярск|Железногорск - Красноярск|Железногорск - Красноярск
1109|Железногорск Красноярский кр-й|Железногорск Красноярский кр-й|Железногорск Красноярский кр-й|Железногорск Красноярский кр-й
1110|Железногорск Красноярский край|Железногорск Красноярский край|Железногорск Красноярский край|Железногорск Красноярский край
1111|Железногорск Красноярского края|Железногорск Красноярского края|Железногорск Красноярского края|Железногорск Красноярского края
1112|Железногорск Курской|Железногорск Курской|Железногорск Курской|Железногорск Курской
1113|Железногорск, Красноярский край|Железногорск Красноярский край|Железногорск Красноярский край|Железногорск Красноярский край
1114|Железногорск, Красноярского края|Железногорск Красноярского края|Железногорск Красноярского края|Железногорск Красноярского края
1115|Железногорск-Илимский|Железногорск-Илимский|Железногорск-Илимский|Железногорск-Илимский
1116|Железногорск/Москва|Железногорск  Москва|Железногорск  Москва|Железногорск  Москва
1117|Железнодорожный|Железнодорожный|Железнодорожный|Железнодорожный
1118|Железнодорожный  мкр. Павлино (Москва и область)|Железнодорожный мкр. Павлино Москва и область|Железнодорожный мкр. Павлино Москва |Железнодорожный мкр. Павлино Москва 
1119|Железнодорожный (Московская обл.)|Железнодорожный Московская обл.|Железнодорожный .|Железнодорожный .
1120|Железнодорожный МО|Железнодорожный МО|Железнодорожный |Железнодорожный 
1121|Железнодорожный, МО|Железнодорожный МО|Железнодорожный |Железнодорожный 
1122|Железнодорожный, Московская обл.|Железнодорожный Московская обл.|Железнодорожный .|Железнодорожный .
1123|Железнодорожный, Московская область|Железнодорожный Московская область|Железнодорожный |Железнодорожный 
1124|Железнодорожный, ул. Почтовая, д. 8, кв. 14|Железнодорожный ул. Почтовая д. 8 кв. 14|Железнодорожный ул. Почтовая д. 8 кв. 14|Железнодорожный ул. Почтовая д. 8 кв. 14
1125|Железнодорожный/Реутов|ЖелезнодорожныйРеутов|ЖелезнодорожныйРеутов|ЖелезнодорожныйРеутов
1126|Железнодорожый (Юбилейный)|Железнодорожный Юбилейный|Железнодорожный Юбилейный|Железнодорожный Юбилейный
1127|Желзнодорожный|Желзнодорожный|Желзнодорожный|Желзнодорожный
1128|Жердевка|Жердевка|Жердевка|Жердевка
1129|Жешарт|Жешарт|Жешарт|Жешарт
1130|Жигулевск|Жигулевск|Жигулевск|Жигулевск
1131|Жигулевуск|Жигулевуск|Жигулевуск|Жигулевуск
1132|Жигулёвск|Жигулёвск|Жигулёвск|Жигулёвск
1133|Жирновск|Жирновск|Жирновск|Жирновск
1134|Житомир|Житомир|Житомир|Житомир
1135|Жуков|Жуков|Жуков|Жуков
1136|Жуков  Калужская обл.|Жуков  Калужская обл.|Жуков  .|Жуков  .
1137|Жуковка|Жуковка|Жуковка|Жуковка
1138|Жуковский|Жуковский|Жуковский|Жуковский
1139|Жуковский (Москва)|Жуковский Москва|Жуковский Москва|Жуковский Москва
1140|Жуковский (Московская обл.)|Жуковский Московская обл.|Жуковский .|Жуковский .
1141|Жуковский М.О.|Жуковский М.О.|Жуковский М.О.|Жуковский М.О.
1142|Жуковский Московской области|Жуковский Московской области|Жуковский асти|Жуковский асти
1143|Жуковский, МО|Жуковский МО|Жуковский |Жуковский 
1144|Жуковский, Московская обл|Жуковский Московская обл|Жуковский |Жуковский 
1145|Жуковский, Московской области|Жуковский Московской области|Жуковский асти|Жуковский асти
1146|Жулебино|Жулебино|Жулебино|Жулебино
1147|ЗАТО Озерный|ЗАТО Озерный| Озерный| Озерный
1148|ЗАТО Сибирский|ЗАТО Сибирский| Сибирский| Сибирский
1149|ЗЕЛЕНОГРАД|ЗЕЛЕНОГРАД||
1150|ЗЕЛЕНОГРАДСК|ЗЕЛЕНОГРАДСК||
1151|Забайкальск|Забайкальск|Забайкальск|Забайкальск
1152|Забайкальский край г.Чита|Забайкальский край г.Чита|Забайкальский край г.Чита|Забайкальский край г.Чита
1153|Забайкальский край пгт.Новокручининский|Забайкальский край пгт.Новокручининский|Забайкальский край пгт.Новокручининский|Забайкальский край пгт.Новокручининский
1154|Забайкальский край, Читинский район, пгт Новокручининский|Забайкальский край Читинский район пгт Новокручининский|Забайкальский край  пгт Новокручининский|Забайкальский край  пгт Новокручининский
1155|Забайкальский край, г. Могоча, ул Клубная|Забайкальский край г. Могоча ул Клубная|Забайкальский край г. Могоча ул Клубная|Забайкальский край г. Могоча ул Клубная
1156|Завитинск|Завитинск|Завитинск|Завитинск
1157|Заводоуковск|Заводоуковск|Заводоуковск|Заводоуковск
1158|Заволжск|Заволжск|Заволжск|Заволжск
1159|Заволжье|Заволжье|Заволжье|Заволжье
1160|Завьялово|Завьялово|Завьялово|Завьялово
1161|Завьяловский район|Завьяловский район||
1162|Загорянский|Загорянский|Загорянский|Загорянский
1163|Заграница|Заграница|Заграница|Заграница
1164|Задонск|Задонск|Задонск|Задонск
1165|Заинск|Заинск|Заинск|Заинск
1166|Заозерск|Заозерск|Заозерск|Заозерск
1167|Заозёрный Красноярского края|Заозёрный Красноярского края|Заозёрный Красноярского края|Заозёрный Красноярского края
1168|Западная Двина|Западная Двина|Западная Двина|Западная Двина
1169|Заполярный|Заполярный|Заполярный|Заполярный
1170|Заполярный Мурманская область (Мурманск)|Заполярный Мурманская область Мурманск|Заполярный  Мурманск|Заполярный  Мурманск
1171|Запорожье (Москва)|Запорожье Москва|Запорожье Москва|Запорожье Москва
1172|Запрудня|Запрудня|Запрудня|Запрудня
1173|Зарайск|Зарайск|Зарайск|Зарайск
1174|Заречный|Заречный|Заречный|Заречный
1175|Заречный (Пензенская обл.)|Заречный Пензенская обл.|Заречный .|Заречный .
1176|Заречный Пензенская область|Заречный Пензенская область|Заречный |Заречный 
1177|Заречный Пензенская облась|Заречный Пензенская область|Заречный |Заречный 
1178|Заречный, Пензенская область|Заречный Пензенская область|Заречный |Заречный 
1179|Заречный, Пензенской обл.|Заречный Пензенской обл.|Заречный .|Заречный .
1180|Заречный, Пензенской области|Заречный Пензенской области|Заречный асти|Заречный асти
1181|Заречный. Свердловская область|Заречный. Свердловская область|Заречный. |Заречный. 
1182|Заринск|Заринск|Заринск|Заринск
1183|Заринск (Алтайский край)|Заринск Алтайский край|Заринск Алтайский край|Заринск Алтайский край
1184|Заринск (Новосибирск)|Заринск Новосибирск|Заринск Новосибирск|Заринск Новосибирск
1185|Заринск Алтайского края|Заринск Алтайского края|Заринск Алтайского края|Заринск Алтайского края
1186|Заринск, Алтайский край|Заринск Алтайский край|Заринск Алтайский край|Заринск Алтайский край
1187|Зарубино|Зарубино|Зарубино|Зарубино
1188|Заря|Заря|Заря|Заря
1189|Звездный Городок|Звездный Городок|Звездный Городок|Звездный Городок
1190|Звездный городок|Звездный городок|Звездный городок|Звездный городок
1191|Звенигово|Звенигово|Звенигово|Звенигово
1192|Звенигород|Звенигород|Звенигород|Звенигород
1193|Звенигород (Московская обл.)|Звенигород Московская обл.|Звенигород .|Звенигород .
1194|Зверево|Зверево|Зверево|Зверево
1195|Звёздный городок|Звёздный городок|Звёздный городок|Звёздный городок
1196|Зеленогорск|Зеленогорск|Зеленогорск|Зеленогорск
1197|Зеленогорск (Красноярский край)|Зеленогорск Красноярский край|Зеленогорск Красноярский край|Зеленогорск Красноярский край
1198|Зеленогорск (Санкт-Петербург)|Зеленогорск Санкт-Петербург|Зеленогорск Санкт-Петербург|Зеленогорск Санкт-Петербург
1199|Зеленогорск Красноярский край|Зеленогорск Красноярский край|Зеленогорск Красноярский край|Зеленогорск Красноярский край
1200|Зеленогорск Красноярского края|Зеленогорск Красноярского края|Зеленогорск Красноярского края|Зеленогорск Красноярского края
1201|Зеленогорский (Кемеровская обл.)|Зеленогорский Кемеровская обл.|Зеленогорский .|Зеленогорский .
1202|Зеленоград|Зеленоград|Зеленоград|Зеленоград
1203|Зеленоград (Москва и область)|Зеленоград Москва и область|Зеленоград Москва |Зеленоград Москва 
1204|Зеленоград (Москва)|Зеленоград Москва|Зеленоград Москва|Зеленоград Москва
1205|Зеленоград (Москва) (Москва)|Зеленоград Москва Москва|Зеленоград Москва Москва|Зеленоград Москва Москва
1206|Зеленоград - Ивантеевка|Зеленоград - Ивантеевка|Зеленоград - Ивантеевка|Зеленоград - Ивантеевка
1207|Зеленоград, Москва|Зеленоград Москва|Зеленоград Москва|Зеленоград Москва
1208|Зеленоград. Москва|Зеленоград. Москва|Зеленоград. Москва|Зеленоград. Москва
1209|Зеленоградск|Зеленоградск|Зеленоградск|Зеленоградск
1210|Зеленоградск, Санкт-Петербург|Зеленоградск Санкт-Петербург|Зеленоградск Санкт-Петербург|Зеленоградск Санкт-Петербург
1211|Зеленодольск|Зеленодольск|Зеленодольск|Зеленодольск
1212|Зеленодольск (Республика Татарстан)|Зеленодольск Республика Татарстан|Зеленодольск Республика Татарстан|Зеленодольск Республика Татарстан
1213|Зеленодольск, РТ|Зеленодольск РТ|Зеленодольск |Зеленодольск 
1214|Зеленодольск,Татарстан|Зеленодольск Татарстан|Зеленодольск Татарстан|Зеленодольск Татарстан
1215|Зеленокумск|Зеленокумск|Зеленокумск|Зеленокумск
1216|Зеленчукская|Зеленчукская|Зеленчукская|Зеленчукская
1217|Зерноград|Зерноград|Зерноград|Зерноград
1218|Зерноградский р-н, х.Путь Правды|Зерноградский р-н х.Путь Правды|Зерноградский  х.Путь Правды|Зерноградский  х.Путь Правды
1219|Зея|Зея|Зея|Зея
1220|Зея, Амурской обл.|Зея Амурской обл.|Зея .|Зея .
1221|Зима|Зима|Зима|Зима
1222|Зима (Иркутская обл.)|Зима Иркутская обл.|Зима .|Зима .
1223|Златоуст|Златоуст|Златоуст|Златоуст
1224|Златоуст (Челябинская область)|Златоуст Челябинская область|Златоуст |Златоуст 
1225|Знаменск|Знаменск|Знаменск|Знаменск
1226|Знаменск (Астраханская обл.)|Знаменск Астраханская обл.|Знаменск .|Знаменск .
1227|Знаменск Астраханская обл.|Знаменск Астраханская обл.|Знаменск .|Знаменск .
1228|Знаменск, Астраханская область|Знаменск Астраханская область|Знаменск |Знаменск 
1229|Знаменское|Знаменское|Знаменское|Знаменское
1230|Зубова Поляна|Зубова Поляна|Зубова Поляна|Зубова Поляна
1231|ИВАНТЕЕВКА МОСК.ОБЛ.|ИВАНТЕЕВКА МОСК.ОБЛ.| .Л.| .Л.
1232|ИЖЕВСК|ИЖЕВСК||
1233|ИРКУТСК|ИРКУТСК|К|К
1234|Ивангород|Ивангород|Ивангород|Ивангород
1235|Ивангород,ЛО|Ивангород Л|Ивангород Л|Ивангород Л
1236|Иванново|Иванново|Иванново|Иванново
1237|Иваново|Иваново|Иваново|Иваново
1238|Иваново (Ивановская область)|Иваново Ивановская область|Иваново |Иваново 
1239|Иваново (Москва)|Иваново Москва|Иваново Москва|Иваново Москва
1240|Иваново (теперь уже телефонные разговоры с Санкт-Петербургом)|Иваново теперь уже телефонные разговоры с Санкт-Петербургом|Иваново теперь уже телефонные разговоры с Санкт-Петербургом|Иваново теперь уже телефонные разговоры с Санкт-Петербургом
1241|Иваново Москва|Иваново Москва|Иваново Москва|Иваново Москва
1242|Иваново и Санкт-Петебрург|Иваново и Санкт-Петебрург|Иваново и Санкт-Петебрург|Иваново и Санкт-Петебрург
1243|Ивановская обл,г. Шуя|Ивановская обл г. Шуя| г. Шуя| г. Шуя
1244|Ивановская обл.|Ивановская обл.|.|.
1245|Ивановская обл.  г.Родники|Ивановская обл.  г.Родники|.  г.Родники|.  г.Родники
1246|Ивановская обл. г. Заволжск (Иваново)|Ивановская обл. г. Заволжск Иваново|. г. Заволжск Иваново|. г. Заволжск Иваново
1247|Ивановская область, г.Вичуга|Ивановская область г.Вичуга| г.Вичуга| г.Вичуга
1248|Ивановское|Ивановское|Ивановское|Ивановское
1249|Ивантеевка|Ивантеевка|Ивантеевка|Ивантеевка
1250|Ивантеевка (Ивантеевка)|Ивантеевка Ивантеевка|Ивантеевка Ивантеевка|Ивантеевка Ивантеевка
1251|Ивантеевка (Московская обл.)|Ивантеевка Московская обл.|Ивантеевка .|Ивантеевка .
1252|Ивантеевка М.О.|Ивантеевка М.О.|Ивантеевка М.О.|Ивантеевка М.О.
1253|Ивантеевка Московская область|Ивантеевка Московская область|Ивантеевка |Ивантеевка 
1254|Ивдель|Ивдель|Ивдель|Ивдель
1255|Игрим|Игрим|Игрим|Игрим
1256|Ижевск|Ижевск|Ижевск|Ижевск
1257|Ижевск (Глазов)|Ижевск Глазов|Ижевск Глазов|Ижевск Глазов
1258|Ижевск (Ижевск)|Ижевск Ижевск|Ижевск Ижевск|Ижевск Ижевск
1259|Ижевск (Москва)|Ижевск Москва|Ижевск Москва|Ижевск Москва
1260|Ижевск (Удмуртская республика)|Ижевск Удмуртская республика|Ижевск Удмуртская республика|Ижевск Удмуртская республика
1261|Ижевск-Казань|Ижевск-Казань|Ижевск-Казань|Ижевск-Казань
1262|Избербаш|Избербаш|Избербаш|Избербаш
1263|Изобильный|Изобильный|Изобильный|Изобильный
1264|Изобильный (Ставропольский край)|Изобильный Ставропольский край|Изобильный Ставропольский край|Изобильный Ставропольский край
1265|Ики-Бурул|Ики-Бурул|Ики-Бурул|Ики-Бурул
1266|Икша|Икша|Икша|Икша
1267|Иланский|Иланский|Иланский|Иланский
1268|Илеза|Илеза|Илеза|Илеза
1269|Иловля|Иловля|Иловля|Иловля
1270|Индия|Индия|Индия|Индия
1271|Иноземцево|Иноземцево|Иноземцево|Иноземцево
1272|Инта|Инта|Инта|Инта
1273|Инта Республика Коми|Инта Республика Коми|Инта Республика Коми|Инта Республика Коми
1274|Интернет|Интернет|Интернет|Интернет
1275|Иосква|Москва|Москва|Москва
1276|Ипатово|Ипатово|Ипатово|Ипатово
1277|Ирбит|Ирбит|Ирбит|Ирбит
1278|Иркуск|Иркутск|Иркутск|Иркутск
1279|Иркутс|Иркутск|Иркутск|Иркутск
1280|Иркутсая область|Иркутская область||
1281|Иркутск|Иркутск|Иркутск|Иркутск
1282|Иркутск  Воронеж|Иркутск  Воронеж|Иркутск  Воронеж|Иркутск  Воронеж
1283|Иркутск (Иркутск)|Иркутск Иркутск|Иркутск Иркутск|Иркутск Иркутск
1284|Иркутск (Иркутская область)|Иркутск Иркутская область|Иркутск |Иркутск 
1285|Иркутск (Казань)|Иркутск Казань|Иркутск Казань|Иркутск Казань
1286|Иркутск (Москва)|Иркутск Москва|Иркутск Москва|Иркутск Москва
1287|Иркутск - Улан-Удэ|Иркутск - Улан-Удэ|Иркутск - Улан-Удэ|Иркутск - Улан-Удэ
1288|Иркутск, Воронеж|Иркутск Воронеж|Иркутск Воронеж|Иркутск Воронеж
1289|Иркутск-Москва|Иркутск-Москва|Иркутск-Москва|Иркутск-Москва
1290|Иркутск-Хайфа|Иркутск-Хайфа|Иркутск-Хайфа|Иркутск-Хайфа
1291|Иркутская обл. Ангарск|Иркутская обл. Ангарск|. Ангарск|. Ангарск
1292|Иркутская обл. г. Черемхово|Иркутская обл. г. Черемхово|. г. Черемхово|. г. Черемхово
1293|Иркутская область|Иркутская область||
1294|Иркутская область село Оса|Иркутская область село Оса| село Оса| село Оса
1295|Иркутская область, пос. Чунский|Иркутская область пос. Чунский| пос. Чунский| пос. Чунский
1296|Иркутся|Иркутся|Иркутся|Иркутся
1297|Ирутск|Ирутск|Ирутск|Ирутск
1298|Исетское|Исетское|Исетское|Исетское
1299|Исилькуль|Исилькуль|Исилькуль|Исилькуль
1300|Искитим|Искитим|Искитим|Искитим
1301|Искитим (Новосибирская обл.)|Искитим Новосибирская обл.|Искитим .|Искитим .
1302|Исса|Исса|Исса|Исса
1303|Истра|Истра|Истра|Истра
1304|Истра (Дмитров)|Истра Дмитров|Истра Дмитров|Истра Дмитров
1305|Истра (Москва)|Истра Москва|Истра Москва|Истра Москва
1306|Истра Московской области|Истра Московской области|Истра асти|Истра асти
1307|Истринский район|Истринский район||
1308|Истринский район д.Алексино|Истринский район д.Алексино| д.Алексино| д.Алексино
1309|Ишим|Ишим|Ишим|Ишим
1310|Ишим , Тюменская область|Ишим Тюменская область|Ишим |Ишим 
1311|Ишим, Тюменская обл.|Ишим Тюменская обл.|Ишим .|Ишим .
1312|Ишимбай|Ишимбай|Ишимбай|Ишимбай
1313|Ишимбай, Советская, 25|Ишимбай Советская 25|Ишимбай Советская 25|Ишимбай Советская 25
1314|ЙОШКАР-ОЛА|ЙОШКАР-ОЛА|-А|-А
1315|Йена|Йена|Йена|Йена
1316|Йошкар - Ола|Йошкар - Ола|Йошкар - Ола|Йошкар - Ола
1317|Йошкар -Ола|Йошкар -Ола|Йошкар -Ола|Йошкар -Ола
1318|Йошкар-Ола|Йошкар-Ола|Йошкар-Ола|Йошкар-Ола
1319|Йошкар-Ола (Йошкар-Ола)|Йошкар-Ола Йошкар-Ола|Йошкар-Ола Йошкар-Ола|Йошкар-Ола Йошкар-Ола
1320|Йошкар-Ола, настоящее время:Италия|Йошкар-Ола настоящее времяИталия|Йошкар-Ола настоящее времяИталия|Йошкар-Ола настоящее времяИталия
1321|Йошкар-ола|Йошкар-ола|Йошкар-ола|Йошкар-ола
1322|Йошкар0Ола|Йошкар0Ола|Йошкар0Ола|Йошкар0Ола
1323|К сожалению...|К сожалению ...|К сожалению |К сожалению 
1324|К-Чепецк|К-Чепецк|К-Чепецк|К-Чепецк
1325|КАЗАНЬ|КАЗАНЬ||
1326|КАЛИНИНГРАД|КАЛИНИНГРАД|Д|Д
1327|КАЛУГА|КАЛУГА||
1328|КАМЧАТКА|КАМЧАТКА||
1329|КАзань|КАзань|зань|зань
1330|КБР|КБР|Р|Р
1331|КБР г. Нальчик|КБР г. Нальчик|Р г. Нальчик|Р г. Нальчик
1332|КБР г.Майский|КБР г.Майский|Р г.Майский|Р г.Майский
1333|КБР, г.Прохладный|КБР г.Прохладный|Р г.Прохладный|Р г.Прохладный
1334|КЕМЕРОВО|КЕМЕРОВО||
1335|КЕМРОВО|КЕМЕРОВО||
1336|КИНГИСЕПП|КИНГИСЕПП|П|П
1337|КИРОВ|КИРОВ|В|В
1338|КИСЛОВОДСК|КИСЛОВОДСК||
1339|КОНДОПОГА|КОНДОПОГА|А|А
1340|КОНТАКТНЫЙ ЦЕНТР|КОНТАКТНЫЙ ЦЕНТР| Р| Р
1341|КОРОЛЁВ|КОРОЛЁВ|В|В
1342|КОРОЛЕВ|КОРОЛЕВ|В|В
1343|КОСТРОМА|КОСТРОМА||
1344|КРАСНОГОРСК|КРАСНОГОРСК|К|К
1345|КРАСНОДАР|КРАСНОДАР|Р|Р
1346|КРАСНОЯРСК|КРАСНОЯРСК||
1347|КРЫМСК|КРЫМСК||
1348|КУБИНКА - 8 (Москва)|КУБИНКА - 8 Москва|А - 8 Москва|А - 8 Москва
1349|КУРГАН|КУРГАН||
1350|КУРСК|КУРСК|К|К
1351|Кабанск|Кабанск|Кабанск|Кабанск
1352|Кабардинка|Кабардинка|Кабардинка|Кабардинка
1353|Кавалерово (Владивосток)|Кавалерово Владивосток|Кавалерово Владивосток|Кавалерово Владивосток
1354|Кавказская|Кавказская|Кавказская|Кавказская
1355|Кагальницкая|Кагальницкая|Кагальницкая|Кагальницкая
1356|Кадниково|Кадниково|Кадниково|Кадниково
1357|Кадуй (Вологда)|Кадуй Вологда|Кадуй Вологда|Кадуй Вологда
1358|Казанская|Казанская|Казанская|Казанская
1359|Казань|Казань|Казань|Казань
1360|Казань (Москва)|Казань Москва|Казань Москва|Казань Москва
1361|Казань (Нижний Новгород)|Казань Нижний Новгород|Казань Нижний Новгород|Казань Нижний Новгород
1362|Казань (Республика Татарстан)|Казань Республика Татарстан|Казань Республика Татарстан|Казань Республика Татарстан
1363|Казань (Самара)|Казань Самара|Казань Самара|Казань Самара
1364|Казань (Ульяновск)|Казань Ульяновск|Казань Ульяновск|Казань Ульяновск
1365|Казань (Уфа)|Казань Уфа|Казань Уфа|Казань Уфа
1366|Казань Декабристов, ценральный офис|Казань Декабристов ценральный офис|Казань Декабристов ценральный офис|Казань Декабристов ценральный офис
1367|Казань офис на ул.Московской|Казань офис на ул.Московской|Казань офис на ул.Московской|Казань офис на ул.Московской
1368|Казань, Нижнекамск|Казань Нижнекамск|Казань Нижнекамск|Казань Нижнекамск
1369|Казань, Россия|Казань Россия|Казань Россия|Казань Россия
1370|Казань, Татарстан|Казань Татарстан|Казань Татарстан|Казань Татарстан
1371|Казань, ситуация в Нижнем Новгороде|Казань ситуация в Нижнем Новгороде|Казань ситуация в Нижнем Новгороде|Казань ситуация в Нижнем Новгороде
1372|Казань-Москва|Казань-Москва|Казань-Москва|Казань-Москва
1373|Казань-Самара|Казань-Самара|Казань-Самара|Казань-Самара
1374|Казахстан|Казахстан|Казахстан|Казахстан
1375|Казахстан, Караганда (Москва)|Казахстан Караганда Москва|Казахстан Караганда Москва|Казахстан Караганда Москва
1376|Казачьи Лагери|Казачьи Лагери|Казачьи Лагери|Казачьи Лагери
1377|Как|Как|Как|Как
1378|Какое может быть расследование|Какое может быть расследование|Какое может быть расследование|Какое может быть расследование
1379|Калач Воронежской области|Калач Воронежской области|Калач асти|Калач асти
1380|Калач-на-Дону (Волгоградская обл.)|Калач-на-Дону Волгоградская обл.|Калач-на-Дону .|Калач-на-Дону .
1381|Калачинск|Калачинск|Калачинск|Калачинск
1382|Калевала|Калевала|Калевала|Калевала
1383|Каледина|Каледина|Каледина|Каледина
1384|Калинигнрад|Калинигнрад|Калинигнрад|Калинигнрад
1385|Калиниград|Калиниград|Калиниград|Калиниград
1386|Калинингад|Калининград|Калининград|Калининград
1387|Калининград|Калининград|Калининград|Калининград
1388|Калининград (Калининград)|Калининград Калининград|Калининград Калининград|Калининград Калининград
1389|Калининград (Мурманск)|Калининград Мурманск|Калининград Мурманск|Калининград Мурманск
1390|Калининград (Санкт-Петербург)|Калининград Санкт-Петербург|Калининград Санкт-Петербург|Калининград Санкт-Петербург
1391|Калининград г|Калининград г|Калининград г|Калининград г
1392|Калининград обл . г. Светлый|Калининград обл . г. Светлый| . г. Светлый| . г. Светлый
1393|Калининград, Калининградская область|Калининград Калининградская область|Калининград |Калининград 
1394|Калининград, Москва|Калининград Москва|Калининград Москва|Калининград Москва
1395|Калининград-Варшава|Калининград-Варшава|Калининград-Варшава|Калининград-Варшава
1396|Калининградская обл. г. Светлый|Калининградская обл. г. Светлый|. г. Светлый|. г. Светлый
1397|Калининградская область|Калининградская область||
