|city_clear|ru_names
903|Гулькевичи|Гулькевичи
904|Гурьевск|Гурьевск
905|Гусев|Гусев
906|Гусев, Калининградская область|Гусев 
907|Гусев,Калининградская область|Гусев
908|Гусиноозерск|Гусиноозерск
909|Гусь Хрустальный|Гусь Хрустальный
910|Гусь-Хрустальный|Гусь-Хрустальный
911|Гусь-Хрустальный (Гусь-Хрустальный)|Гусь-Хрустальный Гусь-Хрустальный
912|Д.Давыдово|Д.Давыдово
913|ДЗЕРЖИНСКИЙ|Дзержинский
914|ДМИТРОВ|Дмитров
915|ДО Пятигорск|До Пятигорск
916|ДО Реутовский|До Реутовский
917|ДОЛИНСК|Долинск
918|Да собственно это единая проблема всех городов|Да Собственно Это Единая Према Всех Ов
919|Давлеканово|Давлеканово
920|Давыдовка|Давыдовка
921|Давыдово|Давыдово
922|Дагестанские Огни|Дагестанские Огни
923|Даллас|Даллас
924|Дальнегорск|Дальнегорск
925|Дальнереченск|Дальнереченск
926|Дальний восток|Дальний Восток
927|Данилов|Данилов
928|Даниловка|Даниловка
929|Данков|Данков
930|Даугавпилс (Москва)|Даугавпилс Москва
931|Дебесы|Дебесы
932|Деденево|Деденево
933|Дедовск|Дедовск
934|Демидов|Демидов
935|Денис|Денис
936|Дербент|Дербент
937|Дербент (Москва)|Дербент Москва
938|Дерехам (Москва)|Дерехам Москва
939|Десногорск|Десногорск
940|Джалиль|Джалиль
941|Джанкой|Джанкой
942|Дзержинк|Дзержинск
943|Дзержинск|Дзержинск
944|Дзержинск (Нижегородская обл.)|Дзержинск
945|Дзержинск (Нижегородская область)|Дзержинск
946|Дзержинск (Нижний Новгород)|Дзержинск Нижний Новгород
947|Дзержинск . Нижегородская обл.|Дзержинск . 
948|Дзержинск Нижегородская область|Дзержинск
949|Дзержинск Нижегородской|Дзержинск Нижегородской
950|Дзержинск Нижегородской обл|Дзержинск
951|Дзержинск Нижегородской области|Дзержинск Асти
952|Дзержинск, Нижегородская обл.|Дзержинск 
953|Дзержинск, Нижегородской обл.|Дзержинск
954|Дзержинск, нижегородская область|Дзержинск
955|Дзержинск,Нижегородская область|Дзержинск
956|Дзержинск,Нижегородской|Дзержинск Нижегородской
957|Дзержинск,нижегородской обл.|Дзержинск
958|Дзержинский|Дзержинский
959|Дзержинский (Московская обл.)|Дзержинский
960|Дзержинский МО|Дзержинский Мо
961|Дзержинский Московская обл. (Москва и область)|Дзержинский Москва
962|Дивногорск|Дивногорск
963|Димитровград|Димитровград
964|Димитровград (Ульяновская обл.)|Димитровград 
965|Димитровград , 433502|Димитровград
966|Димитровград Ульяновской области|Димитровград Асти
967|Димитровград, Ульяновская область|Димитровград
968|Динская|Динская
969|Дитенхофен,Германия|Дитенхофен Германия
970|Дмитров|Дмитров
971|Дмитров (Московская обл.)|Дмитров
972|Дмитров МО|Дмитров Мо
973|Дмитров Московская область|Дмитров 
974|Дмитров Московской Области|Дмитров Московской Области
975|Дмитров, Мос. обл.|Дмитров Мос.
976|Дмитров, Московской области|Дмитров Асти
977|Дмтров|Дмитров
978|Днепропетровск|Днепропетровск
979|Днепропетровск Украина|Днепропетровск Украина
980|Добрянка|Добрянка
981|Довольное|Довольное
982|Долгопрудный|Долгопрудный
983|Долгопрудный (МО)|Долгопрудный Мо
984|Долгопрудный (Московская обл.)|Долгопрудный
985|Долгопрудный МО|Долгопрудный Мо
986|Долгопрудный.|Долгопрудный.
987|Долгорудный|Долгопрудный
988|Долгоруково|Долгоруково
989|Долинск|Долинск
990|Домбаровский|Домбаровский
991|Домодедово|Домодедово
992|Домодедово (Москва)|Домодедово Москва
993|Домодедово (Московская обл.)|Домодедово
994|Домодедово Московской области|Домодедово Асти
995|Домодедово, М/О|Домодедово М О
996|Донецк|Донецк
997|Донецк (Москва)|Донецк Москва
998|Донецк, Украина|Донецк Украина
999|Донской|Донской
1000|Донской (Новомосковск)|Донской Новомосковск
1001|Дорогобуж|Дорогобуж
1002|Дорохово|Дорохово
1003|Дрезна|Дрезна
1004|Дрезна (Московская обл.)|Дрезна
1005|Дрожжановский район|
1006|Другие|Другие
1007|Другой|Другой
1008|Дружная Горка|Дружная Горка
1009|Дубай|Дубай
1010|Дублин, Ирландия|Дублин Ирландия
1011|Дубна|Дубна
1012|Дубна (Москва и область)|Дубна Москва
1013|Дубна (Московская обл.)|Дубна
1014|Дубна, Московская область|Дубна
1015|Дубна, Московской области|Дубна Асти
1016|Дубна, Санкт-Петербург|Дубна Санкт-Петербург
1017|Дубна, московская область|Дубна
1018|Дубовка|Дубовка
1019|Дубовка (Волгоградская обл.)|Дубовка
1020|Дубровка Ленинградская область|Дубровка
1021|Дудинка|Дудинка
1022|Дюберцы|Люберцы
1023|Дюртюли|Дюртюли
1024|Дюртюли (Республика Башкортостан)|Дюртюли 
1025|Дюртюли респ.Башкортостан|Дюртюли Респ.Башкортостан
1026|Дятьково|Дятьково
1027|Дятьково Брянская область|Дятьково 
1028|ЕЙСК|Ейск
1029|ЕКАТЕРИНБУРГ|Екатеринбург
1030|ЕКатеринбург|Екатеринбург
1031|ЕЛЕЗНОДОРОЖНЫЙ|Железнодорожный
1032|Еатеринбург|Екатеринбург
1033|Евпатория|Евпатория
1034|Егва|Егва
1035|Егорлыкская|Егорлыкская
1036|Егорлыкская станица (Ростов-на-Дону)|Егорлыкская Станица Ростов-На-Дону
1037|Егорьевск|Егорьевск
1038|Егорьевск (Московская обл.)|Егорьевск
1039|Егорьевск, МО|Егорьевск Мо
1040|Егорьевск, Московская обл.|Егорьевск 
1041|Егорьевск, Московская область|Егорьевск
1042|Ейск|Ейск
1043|Ейск (Краснодарский край)|Ейск 
1044|Екат-г|Екат-Г
1045|Екатееринбург|Екатеринбург
1046|Екатеренбург|Екатеринбург
1047|Екатерибург|Екатеринбург
1048|Екатеринбург|Екатеринбург
1049|Екатеринбург (Москва)|Екатеринбург Москва 
1050|Екатеринбург (Пермь)|Екатеринбург Пермь
1051|Екатеринбург (Россия)|Екатеринбург Россия
1052|Екатеринбург (Свердловская область)|Екатеринбург
1053|Екатеринбург , ДО Солнечный|Екатеринбург До Солнечный
1054|Екатеринбург г|Екатеринбург Г
1055|Екатеринбург, Москва|Екатеринбург Москва
1056|Екатеринбург, Нижний тагил|Екатеринбург Нижний Тагил
1057|Екатеринбург, Новоуральск|Екатеринбург Новоуральск
1058|Екатеринбург, Серов|Екатеринбург Серов
1059|Екатеринбург-Дубай.|Екатеринбург-Дубай.
1060|Екатеринбург-Москва|Екатеринбург-Москва
1061|Екатеринбург.|Екатеринбург.
1062|Екатеринбург/Волгодонск|Екатеринбург Волгодонск
1063|Екатеринубрг|Екатеринбург
1064|Екатеринург|Екатеринбург
1065|Екатеринюург|Екатеринбург
1066|Екатнринбург|Екатеринбург
1067|Екатринбург|Екатеринбург
1068|Екаттеринбург|Екатеринбург
1069|Ектб|Ектб
1070|Елабуга|Елабуга
1071|Елабуга, РТ|Елабуга Рт
1072|Еланский район|
1073|Елань|Елань
1074|Елец|Елец
1075|Елец (Липецкая обл.)|Елец
1076|Елизово|Елизово
1077|Елизово, Камчатский край|Елизово 
1078|Ельники|Ельники
1079|Еманжелинск|Еманжелинск
1080|Еманжелинский р-он,с.Ключи| С.Ключи
1081|Емва|Емва
1082|Енисейск|Енисейск
1083|Енисейск (Красноярский край)|Енисейск 
1084|Ермаковское (Красноярский край)|Ермаковское 
1085|Ермишь|Ермишь
1086|Ермолаево|Ермолаево
1087|Ермолино, Калужской области|Ермолино Асти
1088|Ершов|Ершов
1089|Ессентуки|Ессентуки
1090|Ессентуки (Ставропольский край)|Ессентуки 
1091|Ессентуки, Ставропольский край|Ессентуки 
1092|Ессентукская|Ессентукская
1093|Ефремов|Ефремов
1094|Ефремов (Тульская обл.)|Ефремов
1095|Ефремов, Тульской области|Ефремов Асти
1096|Жаворонки|Жаворонки
1097|Жалоба на Альфа-Банк|Жалоба На Альфа-Банк
1098|Железноводск|Железноводск
1099|Железноводск пос. Иноземцево|Железноводск По Иноземцево
1100|Железноводск, Иноземцево|Железноводск Иноземцево
1101|Железногорск|Железногорск
1102|Железногорск (Железногорск)|Железногорск Железногорск
1103|Железногорск (Красноярский край)|Железногорск 
1104|Железногорск (Курская обл.)|Железногорск
1105|Железногорск (Курской области)|Железногорск Асти
1106|Железногорск (красноярского края)|Железногорск Красноярского Края 
1107|Железногорск - Илимский|Железногорск - Илимский
1108|Железногорск - Красноярск|Железногорск - Красноярск
1109|Железногорск Красноярский кр-й|Железногорск Красноярский Кр-Й
1110|Железногорск Красноярский край|Железногорск 
1111|Железногорск Красноярского края|Железногорск Красноярского Края
1112|Железногорск Курской|Железногорск Курской
1113|Железногорск, Красноярский край|Железногорск 
1114|Железногорск, Красноярского края|Железногорск Красноярского Края
1115|Железногорск-Илимский|Железногорск-Илимский
1116|Железногорск/Москва|Железногорск Москва
1117|Железнодорожный|Железнодорожный
1118|Железнодорожный  мкр. Павлино (Москва и область)|Железнодорожный Мкр. Павлино Москва
1119|Железнодорожный (Московская обл.)|Железнодорожный
1120|Железнодорожный МО|Железнодорожный Мо
1121|Железнодорожный, МО|Железнодорожный Мо
1122|Железнодорожный, Московская обл.|Железнодорожный
1123|Железнодорожный, Московская область|Железнодорожный
1124|Железнодорожный, ул. Почтовая, д. 8, кв. 14|Железнодорожный Д. 8 Кв.
1125|Железнодорожный/Реутов|Железнодорожный Реутов
1126|Железнодорожый (Юбилейный)|Железнодорожный Юбилейный
1127|Желзнодорожный|Железнодорожный
1128|Жердевка|Жердевка
1129|Жешарт|Жешарт
1130|Жигулевск|Жигулевск
1131|Жигулевуск|Жигулевск
1132|Жигулёвск|Жигулёвск
1133|Жирновск|Жирновск
1134|Житомир|Житомир
1135|Жуков|Жуков
1136|Жуков  Калужская обл.|Жуков
1137|Жуковка|Жуковка
1138|Жуковский|Жуковский
1139|Жуковский (Москва)|Жуковский Москва 
1140|Жуковский (Московская обл.)|Жуковский
1141|Жуковский М.О.|Жуковский М.О.
1142|Жуковский Московской области|Жуковский Асти
1143|Жуковский, МО|Жуковский Мо
1144|Жуковский, Московская обл|Жуковский
1145|Жуковский, Московской области|Жуковский Асти
1146|Жулебино|Жулебино
1147|ЗАТО Озерный|Зато Озерный
1148|ЗАТО Сибирский|Зато Сибирский
1149|ЗЕЛЕНОГРАД|Зеленоград
1150|ЗЕЛЕНОГРАДСК|Зеленоградск
1151|Забайкальск|Забайкальск
1152|Забайкальский край г.Чита| Чита
1153|Забайкальский край пгт.Новокручининский| Пгт.Новокручининский
1154|Забайкальский край, Читинский район, пгт Новокручининский| Пгт Новокручининский
1155|Забайкальский край, г. Могоча, ул Клубная| Г. Могоча 
1156|Завитинск|Завитинск
1157|Заводоуковск|Заводоуковск
1158|Заволжск|Заволжск
1159|Заволжье|Заволжье
1160|Завьялово|Завьялово
1161|Завьяловский район|
1162|Загорянский|Загорянский
1163|Заграница|Заграница
1164|Задонск|Задонск
1165|Заинск|Заинск
1166|Заозерск|Заозерск
1167|Заозёрный Красноярского края|Заозёрный Красноярского Края
1168|Западная Двина|Западная Двина
1169|Заполярный|Заполярный
1170|Заполярный Мурманская область (Мурманск)|Заполярный Мурманск
1171|Запорожье (Москва)|Запорожье Москва
1172|Запрудня|Запрудня
1173|Зарайск|Зарайск
1174|Заречный|Заречный
1175|Заречный (Пензенская обл.)|Заречный
1176|Заречный Пензенская область|Заречный
1177|Заречный Пензенская облась|Заречный Ась
1178|Заречный, Пензенская область|Заречный 
1179|Заречный, Пензенской обл.|Заречный
1180|Заречный, Пензенской области|Заречный Асти
1181|Заречный. Свердловская область|Заречный.
1182|Заринск|Заринск
1183|Заринск (Алтайский край)|Заринск 
1184|Заринск (Новосибирск)|Заринск Новосибирск
1185|Заринск Алтайского края|Заринск Алтайского Края
1186|Заринск, Алтайский край|Заринск 
1187|Зарубино|Зарубино
1188|Заря|Заря
1189|Звездный Городок|Звездный Ок
1190|Звездный городок|Звездный Ок
1191|Звенигово|Звенигово
1192|Звенигород|Звенигород
1193|Звенигород (Московская обл.)|Звенигород
1194|Зверево|Зверево
1195|Звёздный городок|Звёздный Ок
1196|Зеленогорск|Зеленогорск
1197|Зеленогорск (Красноярский край)|Зеленогорск 
1198|Зеленогорск (Санкт-Петербург)|Зеленогорск Санкт-Петербург
1199|Зеленогорск Красноярский край|Зеленогорск 
1200|Зеленогорск Красноярского края|Зеленогорск Красноярского Края
1201|Зеленогорский (Кемеровская обл.)|Зеленогорский
1202|Зеленоград|Зеленоград
1203|Зеленоград (Москва и область)|Зеленоград Москва
1204|Зеленоград (Москва)|Зеленоград Москва
1205|Зеленоград (Москва) (Москва)|Зеленоград Москва Москва
1206|Зеленоград - Ивантеевка|Зеленоград - Ивантеевка
1207|Зеленоград, Москва|Зеленоград Москва
1208|Зеленоград. Москва|Зеленоград. Москва
1209|Зеленоградск|Зеленоградск
1210|Зеленоградск, Санкт-Петербург|Зеленоградск Санкт-Петербург
1211|Зеленодольск|Зеленодольск
1212|Зеленодольск (Республика Татарстан)|Зеленодольск 
1213|Зеленодольск, РТ|Зеленодольск Рт
1214|Зеленодольск,Татарстан|Зеленодольск Татарстан
1215|Зеленокумск|Зеленокумск
1216|Зеленчукская|Зеленчукская
1217|Зерноград|Зерноград
1218|Зерноградский р-н, х.Путь Правды|Х.Путь Правды
1219|Зея|Зея
1220|Зея, Амурской обл.|Зея
1221|Зима|Зима
1222|Зима (Иркутская обл.)|Зима
1223|Златоуст|Златоуст
1224|Златоуст (Челябинская область)|Златоуст
1225|Знаменск|Знаменск
1226|Знаменск (Астраханская обл.)|Знаменск
1227|Знаменск Астраханская обл.|Знаменск
1228|Знаменск, Астраханская область|Знаменск
1229|Знаменское|Знаменское
1230|Зубова Поляна|Зубова Поляна
1231|ИВАНТЕЕВКА МОСК.ОБЛ.|Ивантеевка Моск. Обливская.
1232|ИЖЕВСК|Ижевск
1233|ИРКУТСК|Иркутск
1234|Ивангород|Ивангород
1235|Ивангород,ЛО|Ивангород Ло
1236|Иванново|Иваново
1237|Иваново|Иваново
1238|Иваново (Ивановская область)|Иваново
1239|Иваново (Москва)|Иваново Москва
1240|Иваново (теперь уже телефонные разговоры с Санкт-Петербургом)|Иваново Теперь Уже Телефонные Разговоры Санкт-Петербургом
1241|Иваново Москва|Иваново Москва
1242|Иваново и Санкт-Петебрург|Иваново И Санкт-Петербург
1243|Ивановская обл,г. Шуя|Г. Шуя
1244|Ивановская обл.|
1245|Ивановская обл.  г.Родники| Родники
1246|Ивановская обл. г. Заволжск (Иваново)|Г. Заволжск Иваново
1247|Ивановская область, г.Вичуга| Вичуга
1248|Ивановское|Ивановское
1249|Ивантеевка|Ивантеевка
1250|Ивантеевка (Ивантеевка)|Ивантеевка Ивантеевка
1251|Ивантеевка (Московская обл.)|Ивантеевка 
1252|Ивантеевка М.О.|Ивантеевка М.О.
1253|Ивантеевка Московская область|Ивантеевка 
1254|Ивдель|Ивдель
1255|Игрим|Игрим
1256|Ижевск|Ижевск
1257|Ижевск (Глазов)|Ижевск Глазов
1258|Ижевск (Ижевск)|Ижевск Ижевск 
1259|Ижевск (Москва)|Ижевск Москва 
1260|Ижевск (Удмуртская республика)|Ижевск Удмуртская 
1261|Ижевск-Казань|Ижевск-Казань
1262|Избербаш|Избербаш
1263|Изобильный|Изобильный
1264|Изобильный (Ставропольский край)|Изобильный 
1265|Ики-Бурул|Ики-Бурул
1266|Икша|Икша
1267|Иланский|Иланский
1268|Илеза|Илеза
1269|Иловля|Иловля
1270|Индия|Индия
1271|Иноземцево|Иноземцево
1272|Инта|Инта
1273|Инта Республика Коми|Инта 
1274|Интернет|Интернет
1275|Иосква|Москва
1276|Ипатово|Ипатово
1277|Ирбит|Ирбит
1278|Иркуск|Иркутск
1279|Иркутс|Иркутск
1280|Иркутсая область|
1281|Иркутск|Иркутск
1282|Иркутск  Воронеж|Иркутск Воронеж
1283|Иркутск (Иркутск)|Иркутск Иркутск 
1284|Иркутск (Иркутская область)|Иркутск
1285|Иркутск (Казань)|Иркутск Казань
1286|Иркутск (Москва)|Иркутск Москва
1287|Иркутск - Улан-Удэ|Иркутск - Улан-Удэ
1288|Иркутск, Воронеж|Иркутск Воронеж
1289|Иркутск-Москва|Иркутск-Москва
1290|Иркутск-Хайфа|Иркутск-Хайфа
1291|Иркутская обл. Ангарск| Ангарск
1292|Иркутская обл. г. Черемхово|Г. Черемхово
1293|Иркутская область|
1294|Иркутская область село Оса|Село Оса
1295|Иркутская область, пос. Чунский| По Чунский
1296|Иркутся|Иркутск
1297|Ирутск|Иркутск
1298|Исетское|Исетский
1299|Исилькуль|Исилькуль
1300|Искитим|Искитим
1301|Искитим (Новосибирская обл.)|Искитим 
1302|Исса|Исса
1303|Истра|Истра
1304|Истра (Дмитров)|Истра Дмитров
1305|Истра (Москва)|Истра Москва 
1306|Истра Московской области|Истра Асти
1307|Истринский район|
1308|Истринский район д.Алексино|Д.Алексино
1309|Ишим|Ишим
1310|Ишим , Тюменская область|Ишим 
1311|Ишим, Тюменская обл.|Ишим 
1312|Ишимбай|Ишимбай
1313|Ишимбай, Советская, 25|Ишимбай Советская 
1314|ЙОШКАР-ОЛА|Йошкар- Ольховка [Ску]
1315|Йена|Йена
1316|Йошкар - Ола|Йошкар - Ола
1317|Йошкар -Ола|Йошкар -Ола
1318|Йошкар-Ола|Йошкар-Ола
1319|Йошкар-Ола (Йошкар-Ола)|Йошкар-Ола Йошкар-Ола 
1320|Йошкар-Ола, настоящее время:Италия|Йошкар-Ола Настоящее Время Италия
1321|Йошкар-ола|Йошкар-Ола
1322|Йошкар0Ола|Йошкар Ола
1323|К сожалению...|К Сожалению
1324|К-Чепецк|К-Чепецк
1325|КАЗАНЬ|Казань
1326|КАЛИНИНГРАД|Калининград
1327|КАЛУГА|Калуга
1328|КАМЧАТКА|Камчатка
1329|КАзань|Казань
1330|КБР|Кбр
1331|КБР г. Нальчик|Кбр Г. Нальчик
1332|КБР г.Майский|Кбр Майский
1333|КБР, г.Прохладный|Кбр Прохладный
1334|КЕМЕРОВО|Кемерово
1335|КЕМРОВО|Кемерово
1336|КИНГИСЕПП|Кингисепп
1337|КИРОВ|Киров
1338|КИСЛОВОДСК|Кисловодск
1339|КОНДОПОГА|Кондопога
1340|КОНТАКТНЫЙ ЦЕНТР|Контактный Центр
1341|КОРОЛЁВ|Королёв
1342|КОРОЛЕВ|Королев
1343|КОСТРОМА|Кострома
1344|КРАСНОГОРСК|Красногорск
1345|КРАСНОДАР|Краснодар
1346|КРАСНОЯРСК|Красноярск
1347|КРЫМСК|Крымск
1348|КУБИНКА - 8 (Москва)|Кубинка - 8 Москва
1349|КУРГАН|Курган
1350|КУРСК|Курск
1351|Кабанск|Кабанск
1352|Кабардинка|Кабардинка
1353|Кавалерово (Владивосток)|Кавалерово Владивосток
1354|Кавказская|Кавказская
1355|Кагальницкая|Кагальницкая
1356|Кадниково|Кадниково
1357|Кадуй (Вологда)|Кадуй Вологда
1358|Казанская|Казанская
1359|Казань|Казань
1360|Казань (Москва)|Казань Москва
1361|Казань (Нижний Новгород)|Казань Нижний Новгород
1362|Казань (Республика Татарстан)|Казань 
1363|Казань (Самара)|Казань Самара 
1364|Казань (Ульяновск)|Казань Ульяновск
1365|Казань (Уфа)|Казань Уфа
1366|Казань Декабристов, ценральный офис|Казань Декабристов Центральный Офис
1367|Казань офис на ул.Московской|Казань Офис На Московской
1368|Казань, Нижнекамск|Казань Нижнекамск
1369|Казань, Россия|Казань Россия
1370|Казань, Татарстан|Казань Татарстан
1371|Казань, ситуация в Нижнем Новгороде|Казань Ситуация В Нижнем Новгороде
1372|Казань-Москва|Казань-Москва
1373|Казань-Самара|Казань-Самара
1374|Казахстан|Казахстан
1375|Казахстан, Караганда (Москва)|Казахстан Караганда Москва
1376|Казачьи Лагери|Казачьи Лагеря
1377|Как|Как
1378|Какое может быть расследование|Какое Может Быть Расследование
1379|Калач Воронежской области|Калач Асти
1380|Калач-на-Дону (Волгоградская обл.)|Калач-На-Дону
1381|Калачинск|Калачинск
1382|Калевала|Калевала
1383|Каледина|Каледина
1384|Калинигнрад|Калининград
1385|Калиниград|Калининград
1386|Калинингад|Калининград
1387|Калининград|Калининград
1388|Калининград (Калининград)|Калининград Калининград
1389|Калининград (Мурманск)|Калининград Мурманск
1390|Калининград (Санкт-Петербург)|Калининград Санкт-Петербург
1391|Калининград г|Калининград Г
1392|Калининград обл . г. Светлый|, Г. Светлый
1393|Калининград, Калининградская область|Калининград 
1394|Калининград, Москва|Калининград Москва
1395|Калининград-Варшава|Калининград-Варшава
1396|Калининградская обл. г. Светлый| Г. Светлый
1397|Калининградская область|
1398|Калининец|Калининец
1399|Калининрад|Калининград
1400|Калининск|Калининск
1401|Калининская|Калининская
1402|Калитино|Калитин
1403|Калтан|Калтан
1404|Калуга|Калуга
1405|Калуга (Воротынск)|Калуга Воротынск
1406|Калуга (Калуга)|Калуга Калуга
1407|Калуга (Калужская область)|Калуга
1408|Калуга (Москва)|Калуга Москва
1409|Калуга (Нижний Новгород)|Калуга Нижний Новгород
1410|Калуга, Москва (Калуга)|Калуга Москва Калуга
1411|Калужская обл.|
1412|Калужская область|
1413|Калужская область город Боровск| Боровск
1414|Калязин|Калязин
1415|Каменка|Каменка
1416|Каменка, Пензенской обл.|Каменка 
1417|Каменск -Шахтинский Ростовская область|Каменск -Шахтинский
1418|Каменск-Уральский|Каменск-Уральский
1419|Каменск-Уральский (Свердловская обл.)|Каменск-Уральский
1420|Каменск-Уральский Свердловской обл.|Каменск-Уральский
1421|Каменск-Уральский Свердловской области|Каменск-Уральский Асти
1422|Каменск-Шахтинский|Каменск-Шахтинский
1423|Каменск-Шахтинский мик.Заводской|Каменск-Шахтинский Мик.Заводской
1424|Каменск-Шахтинский, мкр-н Лиховской (Ростовская обл.)|Каменск-Шахтинский Мкр Лиховской 
1425|Камень-на-Оби|Камень-На-Оби
1426|Камешково|Камешково
1427|Камское Устье|Камское Устье
1428|Камчатский край| 
1429|Камышин|Камышин
1430|Камышин (Волгоградская обл.)|Камышин 
1431|Камышин, Волгоградская область|Камышин
1432|Камышин, Волгоградской обл.|Камышин
1433|Камышин,Волгоградская область.|Камышин .
1434|Камышлов|Камышлов
1435|Канаш|Канаш
1436|Канаш, Чувашская Республика|Канаш Чувашская 
1437|Кандалакша|Кандалакша
1438|Кандры (Республика Башкортостан)|Кандры 
1439|Каневская|Каневская
1440|Канск|Канск
1441|Канск  Красноярский край|Канск 
1442|Канск (Красноярск)|Канск Красноярск
1443|Канск (Красноярский край)|Канск 
1444|Карабаново|Карабаново
1445|Карабаш|Карабаш
1446|Караганда (Москва)|Караганда Москва
1447|Каракулино|Каракулино
1448|Карачаевск|Карачаевск
1449|Карачев|Карачев
1450|Карачев (Брянская обл.)|Карачев
1451|Каргасок|Каргасок
1452|Каргополь|Каргополь
1453|Карелия|Карелия
1454|Карелия п.Пяозерский|Карелия П.Пяозерский
1455|Карпинск|Карпинск
1456|Карпинск,Свердловская область|Карпинск 
1457|Карпищево|Карпищево
1458|Карпогоры|Карпогоры
1459|Карталы|Карталы
1460|Карымская|Карымская
1461|Касимов|Касимов
1462|Касли|Касли
1463|Каспийск|Каспийск
1464|Катайск|Катайск
1465|Качканар|Качканар
1466|Кашин, Тверская область|Кашин
1467|Кашира|Кашира
1468|Кашира (Московская обл.)|Кашира 
1469|Келози|Келози
1470|Кемерово|Кемерово
1471|Кемерово (Кемерово)|Кемерово Кемерово 
1472|Кемерово (Кемеровская область)|Кемерово 
1473|Кемерово (Москва)|Кемерово Москва
1474|Кемерово (Новосибирск)|Кемерово Новосибирск 
1475|Кемерово / Екатеринбург|Кемерово Екатеринбург
1476|Кемеровская область|
1477|Кемеровская область, Промышленновский район.|,
1478|Кемеровская область, пгт Яя|Пгт Яя
1479|Керчь|Керчь
1480|Кжфвдлоажфы|Кжфвдлоажфы
1481|Киев|Киев
1482|Киев (Москва)|Киев Москва
1483|Киев (Санкт-Петербург)|Киев Санкт-Петербург
1484|Киев-СПБ|Киев- Свх Победа [ Уральск]
1485|Кизел|Кизел
1486|Кизилюрт|Кизилюрт
1487|Кизнер|Кизнер
1488|Кильмезь|Кильмезь
1489|Кимовск|Кимовск
1490|Кимовск (Тульская область)|Кимовск
1491|Кимовск, Тульская область|Кимовск
1492|Кимры|Кимры
1493|Кингисепп|Кингисепп
1494|Кингисепп (Ленинградская обл.)|Кингисепп 
1495|Кинель|Кинель
1496|Кинель-Черкассы|Кинель-Черкассы
1497|Кинешма|Кинешма
1498|Кинешма Ивановская область|Кинешма 
1499|Кинешма Ивановской обл.|Кинешма 
1500|Кинешма Ивановской области|Кинешма Асти
1501|Кинешма, Ивановская обл.|Кинешма
1502|Киргиз-Мияки|Киргиз-Мияки
1503|Киреевск (Тульская обл.)|Киреевск
1504|Киржач|Киржач
1505|Киржач (Владимирская обл.) (Владимирская область)|Киржач
1506|Кириллов|Кириллов
1507|Кириши|Кириши
1508|Кириши (Ленинградская обл.)|Кириши
1509|Кириши, Ленинградская область|Кириши
1510|Киров|Киров
1511|Киров (Калужская обл.)|Киров 
1512|Киров (Кировская область)|Киров
1513|Киров (Москва)|Киров Москва 
1514|Киров Кировской области|Киров Асти
1515|Киров Нововятский район|Киров
1516|Киров, Кировская область|Киров
1517|Киров, Кировской обл.|Киров
1518|Киров,Калужский|Киров Калужский
1519|Кирово-Чепецк|Кирово-Чепецк
1520|Кирово_чепецк|Кирово_Чепецк
1521|Кировск|Кировск
1522|Кировск (Мурманская обл.)|Кировск 
1523|Кировск, Мурманской области|Кировск Асти
1524|Кировск, Мурманской области.|Кировск Асти.
1525|Кировская обл., п. Оричи|П. Оричи
1526|Кировская область|
1527|Кировская область, Верхнекамский район, п.Светлоолянск ул.Дзержинского 7-6|П.Светлополянск Дзержинского
1528|Кировский|Кировский
1529|Кирс|Кирс
1530|Кирсанов|Кирсанов
1531|Киселевск|Киселевск
1532|Киселёвск|Киселёвск
1533|Киселёвск, Кемеровксой области|Киселёвск Асти
1534|Кисловодск|Кисловодск
1535|Кисловодск (Ставрополь)|Кисловодск Ставрополь
1536|Кисловодск (Ставропольский край)|Кисловодск 
1537|Кисловодск тогда|Кисловодск Тогда
1538|Кито, Эквадор|Кито Эквадор
1539|Кишинев (Москва)|Кишинев Москва 
1540|Клетская|Клетская
1541|Климовск|Климовск
1542|Климовск (Климовск)|Климовск Климовск
1543|Климовск (Московская обл.)|Климовск
1544|Климовск, Московская область|Климовск
1545|Клин|Клин
1546|Клин (Москва и область)|Клин Москва
1547|Клин (Москва)|Клин Москва
1548|Клин (Московская обл.)|Клин
1549|Клин МО|Клин Мо
1550|Клин Московская обл.|Клин
1551|Клин Московской области|Клин Асти
1552|Клин, МО|Клин Мо
1553|Клин, Московская обл|Клин
1554|Клин, Московская область|Клин
1555|Клин,МО|Клин Мо
1556|Клин-5|Клин-5
1557|Клин.Московской области|Клин.Асти
1558|Клинцы|Клинцы
1559|Клявлино|Клявлино
1560|Кмерово|Кемерово
1561|Княгинино Нижегородской области|Княгинино Асти
1562|Ковдор|Ковдор
1563|Ковдор, Мурманской области|Ковдор Асти
1564|Ковров|Ковров
1565|Ковров (Владимир)|Ковров Владимир
1566|Ковров (Владимирская обл.)|Ковры
1567|Ковров Владимирской обл|Ковры
1568|Ковров Владимирской области|Ковров Асти
1569|Ковров, Владимирская область|Ковры
1570|Ковров, Чернышевского 3, Чернышевского 1|Ковров Чернышевского 3 Чернышевского 1
1571|Когалым|Когалым
1572|Кодинск|Кодинск
1573|Кодинск (Красноярский Край) (Красноярский край)|Кодинск 
1574|Козельск|Козельск
1575|Козловка|Козловка
1576|Козлово|Козлово
1577|Козьмодемьянск|Козьмодемьянск
1578|Кокошкино МО|Кокошкино Мо
